,,,,Number of victims of intentional homicides,,,,,,,,,,,,,,,,,,,,,,"Rates of intentional homicides per 100,000",,,,,,,,,,,,,,,,,,,,,
Americas,Latin America and the Caribbean,Guyana,CTS/UNODC Research/NSO/OAS,76,80,143,209,131,284,306,230,316,242,302,571,566,702,177,769,1607,1642,1543,1708,1928,1344,10.01,10.53,18.81,27.48,17.23,56.12,60.60,45.66,62.94,47.86,59.21,237.38,233.22,288.72,23.56,285.51,718.25,481.44,603.54,645.86,588.51,494.82
Americas,Latin America and the Caribbean,Haiti,OAS/DPKO/NP/CTS,,,,,,,,486,498,598,677,914,1033,2078,1960,2142,2056,,2228,,2560,2978,,,,,,,,5.16,5.20,6.15,6.88,9.18,10.22,30.49,28.34,30.53,28.90,,86.32,,34.13,39.22
Europe,Southern Europe,Holy See,CTS/SDG,,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00
Americas,Latin America and the Caribbean,Honduras,RSC/Interpol/OCAVI/NSO/CTS,3176,3488,3623,4073,3639,3212,6236,7176,8910,10560,12472,20709,25837,47626,45332,41972,46469,22866,39507,38512,33738,36569,47.71,51.01,51.61,56.55,49.29,42.46,119.99,134.99,163.88,190.10,219.88,975.41,944.34,1861.81,1813.15,1769.25,1748.39,317.07,1394.43,1425.79,1203.88,1259.43
Europe,Eastern Europe,Hungary,UNSDC/CTS/MD,410,508,406,662,613,872,880,831,1098,1040,1153,1124,850,1934,1945,442,1399,1536,791,799,948,700,6.07,7.58,6.04,8.85,8.19,22.51,22.64,20.74,48.30,40.52,65.87,63.66,32.15,91.83,82.18,6.76,39.69,57.57,27.59,29.37,31.67,18.16
Europe,Northern Europe,Iceland,CTS/SDG/GSH 2023 Revision/Eurostat/MD/External/SDG/UNSDC,5,1,4,1,,6,0,5,0,2,17,30,12,13,19,40,14,34,33,12,61,21,1.78,0.35,1.39,0.35,,3.02,0.00,2.22,0.00,0.93,12.78,28.07,7.82,14.82,33.23,30.04,10.53,46.15,24.29,8.87,58.53,11.57
Asia,Southern Asia,India,CTS/NCRB India/Mol,96334,92840,91472,88662,115223,111188,112379,111321,177134,164176,157969,165512,173294,166364,94712,88746,105433,103221,101585,98453,93945,93569,13.53,12.81,12.40,11.82,14.15,13.46,13.35,13.11,68.48,59.61,57.85,61.61,64.21,63.87,10.82,10.02,11.01,10.63,10.39,10.02,9.61,9.56
Asia,South-eastern Asia,Indonesia,UNSDC/Interpol/CTS,2204,,,1635,1419,,,,,,,,,,,,,,,,,869,1.03,,,0.73,0.63,,,,,,,,,,,,,,,,,0.32
Asia,Southern Asia,Iran (Islamic Republic of),NSO/MD/WHO,,,,,,,,,,2215,,,,7008,6640,2451,,,,,,,,,,,,,,,,2.98,,,,11.47,10.67,3.00,,,,,,
Asia,Western Asia,Iraq,UNSDC/Computed,,,,,,,,,9192.00000000001,5108,5382,5268,5394,6678,,,,,,,,,,,,,,,,,47.32,25.32,25.88,24.45,23.93,28.27,,,,,,,,
Asia,Western Asia,Iraq (Central Iraq),CTS,,,,,,,,,10581,8640,8618,8784,8786,10344,7999,,,,44204,51190,53346,70022,,,,,,,,,59.90,42.59,41.56,40.59,39.07,44.47,34.88,,,,200.61,226.42,229.96,294.17
Asia,Western Asia,Iraq (Kurdistan Region),Computed,,,,,,,,,288,192,276,232,206,222,,,,,,,,,,,,,,,,,10.63,6.85,9.55,7.74,6.57,6.76,,,,,,,,
Europe,Northern Europe,Ireland,UNSDC/NP/NSO/CTS/MD/External,74,104,104,102,83,104,124,156,102,106,126,104,124,120,21,110,102,154,146,126,138,66,2.95,4.09,4.02,3.52,2.81,3.79,4.39,5.37,3.44,3.54,4.01,3.23,3.87,3.74,0.45,12.43,12.67,31.65,30.75,26.26,23.49,9.29
Europe,Northern Europe,Isle of Man,NP,,,,,,,,,,,,1,2,2,3,1,0,,,,,,,,,,,,,,,,,1.19,2.37,2.38,3.58,1.20,0.00,,,,,
Asia,Western Asia,Israel,UNSDC/NSO/SDG/GSH 2023 Revision/MD,308,386,416,365,344,364,332,301,269,288,300,294,256,254,216,220,208,246,232,322,300,346,7.59,9.34,9.88,8.32,7.66,7.97,7.13,6.30,5.52,6.03,6.16,5.93,5.08,4.94,4.13,4.13,3.83,4.45,4.12,5.28,4.86,5.84
Europe,Southern Europe,Italy,UNSDC/CTS/SDG/GSH 2023 Revision,1532,1418,1288,1541,867,2865,2836,3011,3815,3664,3439,3332,3375,5217,5221,5250,4864,4698,4290,4240,4164,2664,4.08,3.78,3.42,3.97,1.50,12.22,12.52,12.91,42.34,36.98,38.43,35.26,39.17,43.05,36.28,56.32,51.10,48.51,42.67,47.24,39.83,11.85
Americas,Latin America and the Caribbean,Jamaica,UNSDC/NP/OAS/CTS,887,1139,1045,975,1471,3348,6175,7969,7816,8318,6366,5589,5848,7565,5946,7466,6622,18182,13842,12422,13029,13966,33.96,43.38,39.61,36.78,55.22,188.48,593.38,755.46,729.05,765.36,629.44,533.85,525.83,1204.89,1002.82,1299.11,1311.47,1934.75,1576.79,1197.73,1622.18,1711.18
Asia,Eastern Asia,Japan,GSH 2019 Revision/SDG/CTS/MoI/CTS,1356,1394,1324,1838,1868,1876,1731,1540,1727,1382,1250,1152,1102,1675,1655,1356,1483,1001,1086,1046,767,736,1.61,1.65,1.56,1.99,2.01,2.01,1.86,1.68,1.88,1.50,1.36,1.26,1.20,5.81,6.16,4.67,4.47,1.03,1.12,1.08,0.87,0.83
Asia,Western Asia,Jordan,UNSDC/CTS/SDG/MNS,,,,,,,,224,240,204,232,547,641,144,170,151,262,992,793,1040,1066,628,,,,,,,,5.14,5.38,4.49,4.99,21.74,26.19,1.87,1.96,1.59,3.90,9.90,6.85,17.90,20.54,7.61
Asia,Central Asia,Kazakhstan,UNSDC/TransMonEE/CTS/WHO,2325,2160,1967,1991,3652,1478,1287,1356,6465,6429,5012,5148,4840,6156,3645,3015,,4026,,701,1907,,15.26,14.13,12.82,12.91,23.53,9.44,8.13,8.47,187.92,183.00,147.93,138.96,134.41,137.60,100.09,68.77,,27.21,,3.74,13.38,
Africa,Sub-Saharan Africa,Kenya,CTS,,,,,1199.7,1083.6,1105.96,1101.66,1215.18,1907.48,1926,2271,2374,2091,8819,8607,8863,8022,7596,6190,7508,5656,,,,,3.45,3.02,3.00,2.90,3.10,4.73,4.64,5.33,5.43,105.36,210.23,194.17,201.97,96.80,143.28,128.82,156.05,15.99
Oceania,Micronesia,Kiribati,MD/WHO,3,4,,,,,,,7,1,4,11,8,,,,,,,,,,3.38,4.42,,,,,,,6.73,0.94,3.70,10.01,7.17,,,,,,,,,
Europe,Southern Europe,Kosovo under UNSCR 1244,CTS,,,,,,,,,282,223,288,214,239,125,189,245,204,246,271,194,136,122,,,,,,,,,21.86,16.45,21.98,15.35,18.18,9.20,13.73,48.39,51.39,57.75,44.91,37.66,45.73,36.27
Asia,Western Asia,Kuwait,UNSDC/NP/CTS/SAS/NSO,,39,23,58,86,82,90,118,76,98,120,118,122,,,,,92,74,32,58,,,1.96,1.12,3.90,5.76,5.48,5.33,6.72,4.18,5.07,5.87,5.37,5.11,,,,,3.45,2.57,1.03,2.40,
Asia,Central Asia,Kyrgyzstan,CTS,,,,417,367,401,403,435,405,,487,453,370,338,252,256,320,274,223,,,,,,,8.21,7.14,7.72,7.68,8.22,7.58,,8.88,8.16,6.57,5.91,4.33,4.33,5.32,4.48,3.58,,,
Europe,Northern Europe,Latvia,UNSDC/CTS/SDG,238,219,214,137,155,103,101,124,99,80,78,63,320,246,331,327,854,1014,1005,842,819,477,9.95,9.28,9.20,5.97,6.85,4.61,4.58,5.70,4.60,3.76,3.71,3.03,41.99,29.65,38.07,43.87,215.20,256.24,261.30,236.90,202.15,61.93
Asia,Western Asia,Lebanon,CTS/SDG,,,,,,,,,183,145,256,299,377,424,406,387,368,389,280,283,312,,,,,,,,,,3.74,2.93,7.00,8.55,10.86,10.81,9.14,8.48,8.01,8.68,6.54,6.69,8.90,
Africa,Sub-Saharan Africa,Lesotho,UNSDC/CTS,,,,,,,,895,752,,,,,,,,,,,,,,,,,,,,,45.12,37.69,,,,,,,,,,,,,
Africa,Sub-Saharan Africa,Liberia,UNMIL,,,,,,,,100,177,145,129,161,135,,,,,,,,,,,,,,,,,2.75,4.68,3.71,3.21,3.85,3.12,,,,,,,,,
Europe,Western Europe,Liechtenstein,Eurostat/CTS/NSO,0,0,0,0,1,0,0,0,1,0,5,0,0,0,2,0,0,2,2,2,9,6,0.00,0.00,0.00,0.00,2.92,0.00,0.00,0.00,2.82,0.00,41.55,0.00,0.00,0.00,8.14,0.00,0.00,7.88,7.82,5.20,58.74,23.01
Europe,Northern Europe,Lithuania,UNSDC/CTS/MD/SDG/WHO,740.000000000001,706,586,344,686,1007,986,890,1241,1040,1011,947,824,1886,1674,1596,1670,1371,1073,1064,1077,574,31.60,30.56,25.74,20.54,30.55,41.81,41.11,38.27,125.69,118.64,119.02,112.11,88.77,237.33,244.39,178.36,203.17,219.84,141.25,137.29,140.16,50.34
Europe,Western Europe,Luxembourg,Eurostat/UNECE/CTS/MD/OHCHR,4,18,6,3,4,4,14,32,24,25,47,15,0,1,18,5,7,3,3,16,5,8,0.92,6.13,1.35,0.66,1.31,0.86,4.46,18.10,15.04,9.64,25.87,3.87,0.00,0.18,4.50,0.88,1.20,0.50,0.49,3.86,0.95,1.25
Africa,Sub-Saharan Africa,Madagascar,CTS,,,,,,,,,,,100,206,199,212,277,351,,,,,,,,,,,,,,,,,0.46,0.92,0.87,0.90,1.14,1.79,,,,,,
Africa,Sub-Saharan Africa,Malawi,NP,700,900,567,300,411,200,821,690,780,320,520,343,279,,,,,,,,,,6.23,7.83,4.81,2.48,3.31,1.57,6.26,5.11,5.62,2.24,3.53,2.26,1.79,,,,,,,,,
Asia,South-eastern Asia,Malaysia,UNSDC/WHO/NP/SDG/CTS,551,517,565,565,497,846,747,652,597,561,540,530,602,627,510,498,456,379,323,310,253,243,2.40,2.20,2.34,2.28,1.96,3.26,2.82,2.41,2.16,1.99,1.88,1.82,2.03,2.08,1.67,1.60,1.45,1.19,1.00,0.95,0.76,0.72
Asia,Southern Asia,Maldives,UNSDC/CTS/SDG,,7,8,,,,,3,13,22,7,10,22,12,3,17,60,87,,3,,,,2.44,2.74,,,,,0.92,37.92,52.50,5.86,16.45,33.92,31.11,0.72,4.58,16.67,24.36,,0.59,,
Europe,Southern Europe,Malta,CTS/NSO/SDG/UNSDC/Eurostat/CTS/NSO/SDG,4,6,6,2,18,19,1,16,25,21,23,18,53,30,24,36,37,85,100,70,94,23,1.00,1.49,1.48,0.49,6.11,14.05,0.24,9.32,18.21,12.63,15.34,9.90,36.22,20.59,14.52,17.52,19.41,68.88,55.38,52.75,88.64,12.17
Oceania,Micronesia,Marshall Islands,UNSDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Americas,Latin America and the Caribbean,Martinique,MD/NP,,,,,19,19,46,46,34,22,,,,,,,,,,,,,,,,,4.63,4.75,17.93,17.91,13.25,8.59,,,,,,,,,,,,
Africa,Sub-Saharan Africa,Mauritania,MoJ,,,,,,,,,,,,,,,,,,,53,48,46,,,,,,,,,,,,,,,,,,,,1.24,1.09,1.02,
Africa,Sub-Saharan Africa,Mauritius,CTS/GSH 2023 Revision/NP/MD/NSO/SDG/UNSDC,52,,,40,42,42,60,53,67,168,155,140,147,108,68,70,72,96,102,74,88,270,6.42,,,6.37,6.17,6.29,8.71,7.73,9.03,42.41,31.08,33.92,24.25,11.10,6.74,7.05,7.19,9.98,10.75,7.82,9.50,170.16
Africa,Sub-Saharan Africa,Mayotte,NP,,,,,,,,27,5,12,,,,,,,,,,,,,,,,,,,,13.80,2.49,5.82,,,,,,,,,,,,
Americas,Latin America and the Caribbean,Mexico,GSH 2019 Revision/NSO/CTS/SDG,21474,20570,20176,23565,22878,24248,25167,21982,32372,43607,56078,58589,55823,50818,75242,164360,196418,264651,303601,251483,250505,241467,33.27,31.38,30.32,33.17,31.27,32.70,33.64,28.75,42.72,57.72,73.47,75.75,71.22,63.52,80.67,417.80,490.49,674.47,739.67,704.67,682.89,654.48
Oceania,Micronesia,Micronesia (Federated States of),External,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2.71,,
Europe,Western Europe,Monaco,UNSDC/CTC,,1,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,3.08,,0.00,3.10,0.00,0.00,0.00,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Asia,Eastern Asia,Mongolia,SDG/CTS,,,,541,622,710,773,1418,1324,1316,1365,1499,1248,2300,2341,2789,2433,2457,2549,2668,2599,1719,,,,21.50,24.51,27.74,29.95,158.19,218.92,224.01,230.55,253.45,206.52,410.81,426.70,412.95,366.44,249.66,255.72,257.64,303.88,71.05
Europe,Southern Europe,Montenegro,CTS/GSH 2023 Revision/Eurostat/CTS,,,27,,,,0,24,48,86,48,107,54,79,137,170,313,152,161,263,246,167,,,4.27,,,,0.00,5.75,11.53,41.20,30.53,44.13,31.47,38.09,65.43,72.10,175.04,56.94,52.40,111.17,110.24,81.20
Americas,Latin America and the Caribbean,Montserrat,MD/WHO/PAHO/SAS/NSO,0,0,0,0,0,2,2,,2,,,,2,,,,,0,0,,,,0.00,0.00,0.00,0.00,0.00,61.71,61.35,,60.58,,,,61.57,,,,,0.00,0.00,,,
Africa,Northern Africa,Morocco,Computed/CTS/UNSDC/External,461,543,462,510,470,469,498,517,426,864,451,441,766,2479,1213,3142,2720,4878,4384,5001,1464,2856,1.61,1.88,1.58,1.72,1.56,1.54,1.62,1.66,1.35,4.04,1.39,1.34,3.44,15.85,4.57,30.28,11.02,19.11,16.71,19.38,5.97,10.32
Africa,Sub-Saharan Africa,Mozambique,WHO/SDG,,1100,1040,1044,1130,1089,894,849,995,823,875,849,,,,,,,,,,,,6.04,5.56,5.44,5.74,5.39,4.31,3.99,4.55,3.67,3.79,3.57,,,,,,,,,,
Asia,South-eastern Asia,Myanmar,NSO/CTS/SDG,1041,916,814,764,743,676,777,749,791,1758,1602,2110,2872,3297,3342,3544,3700,2784,2904,3038,3142,30598,2.29,1.99,1.75,1.63,1.57,1.42,1.62,1.55,1.62,5.38,4.87,6.36,8.59,8.96,8.96,9.42,9.72,8.00,8.28,8.61,8.84,85.50
Africa,Sub-Saharan Africa,Namibia,CTS/NP/Interpol,380,353,346,,352,,,,354,388,314,308,388,,,,,,1050,696,680,752,20.89,19.02,18.32,,18.15,,,,17.37,18.76,14.96,14.44,17.90,,,,,,66.27,43.07,41.51,44.95
Asia,Southern Asia,Nepal,UNSDC/NSO/CTS,635,848,858,757,936,1213,871,841,892,806,813,679,642,606,558,558,598,617,630,659,,,2.59,3.40,3.39,2.95,3.60,4.61,3.28,3.15,3.32,2.98,2.99,2.49,2.35,2.21,2.03,2.02,2.15,2.19,2.21,2.29,,
Europe,Western Europe,Netherlands,MD/NSO/CTS,360,404,390,404,382,1862,1527,655,1588,2265,2756,2872,2785,2840,2674,2309,2757,1605,1413,1484,899,1499,3.40,3.80,3.65,3.76,3.55,12.53,10.14,9.97,100.42,152.57,201.48,210.31,204.28,274.81,256.78,201.07,220.34,21.06,17.59,18.51,15.67,19.10
Oceania,Melanesia,New Caledonia,NP,,,,,,,8,12,11,8,,,,,,,,,,,,,,,,,,,3.26,4.81,4.35,3.11,,,,,,,,,,,,
Oceania,Australia and New Zealand,New Zealand,WHO Adjusted/UNSDC/NP/CTS/MD,104,102,120,109,111,142,120,242,281,400,297,238,245,285,245,261,266,213,405,591,29,32,4.06,3.94,4.57,3.82,3.84,4.92,4.06,13.13,27.39,37.31,23.16,20.94,22.61,24.74,7.27,8.01,7.71,6.15,11.32,16.06,0.57,0.62
Americas,Latin America and the Caribbean,Nicaragua,OAS/CTS/MD/RIC/NP/UNODC Research/SDG,476,537,554,635,646,729,722,714,1472,1604,5031,1476,1346,1188,525,1048,2324,2225,4222,4182,,2202,9.29,10.34,10.53,11.93,11.99,13.36,13.06,12.73,39.14,42.01,209.16,37.57,33.75,29.35,8.46,25.14,51.37,48.45,85.97,79.17,,43.78
Africa,Sub-Saharan Africa,Niger,WHO,,,,,,,,,,,,831,788,,,,,,,,,,,,,,,,,,,,,4.81,4.39,,,,,,,,,
Africa,Sub-Saharan Africa,Nigeria,UNODC Research,,,,,,,,,,,,,,,,,63400,,,44200,,,,,,,,,,,,,,,,,,,33.60,,,21.74,,
Europe,Southern Europe,North Macedonia,UNSDC/Eurostat/CTS/SDG/MD,94,55,120,189,155,83,256,231,198,227,236,173,176,154,249,94,80,122,50,48,,,6.90,2.68,8.71,12.50,9.82,6.11,31.61,25.92,24.57,25.70,29.77,20.49,19.70,23.94,36.41,6.12,5.26,7.96,3.55,3.41,,
Europe,Northern Europe,Norway,UNSDC/GSH 2019 Revision/SDG/Eurostat/CTS/NP/External/MD,96,74,92,82,105,102,156,126,176,160,170,431,159,276,189,200,204,207,215,256,264,182,3.21,2.46,3.05,2.91,3.07,2.92,8.22,6.10,14.85,13.75,16.09,22.08,13.56,26.96,21.74,19.34,19.04,17.33,25.07,19.81,21.25,10.96
Asia,Western Asia,Oman,NSO/CTS/SDG,,,28,35,42,53,121,37,47,37,48,34,39,97,24,98,130,276,178,165,105,94,,,1.16,1.44,1.70,2.11,4.73,1.42,1.77,1.37,1.67,1.06,1.10,2.54,0.95,3.23,4.05,26.23,10.41,4.90,3.20,2.83
Asia,Southern Asia,Pakistan,UNSDC/NSO/NP/SDG,8906,9593,9466,9346,9614,9782,10048,10556,12059,12491,13190,13860,13846,13937,13276,9486,8516,8235,8241,8153,8490,9207,5.77,6.03,5.80,5.60,5.63,5.61,5.64,5.80,6.49,6.57,6.78,6.98,6.85,6.79,6.37,4.50,3.99,3.81,3.75,3.65,3.74,3.98
Oceania,Micronesia,Palau,NSO,,,,,,,,,,,,,,,,3,0,0,2,,,,,,,,,,,,,,,,,,,16.86,0.00,0.00,11.20,,,
Americas,Latin America and the Caribbean,Panama,NSO/CTS/PPR/MD,598,612,752,964,879,2023,1672,2001,3260,3767,3075,3377,3601,1326,4805,4039,4441,3875,3901,4517,4514,4961,29.81,29.91,36.06,40.82,36.53,131.93,96.40,115.20,186.05,213.76,183.24,190.63,194.43,51.99,229.77,323.20,278.45,270.07,238.12,316.44,324.57,352.37
Oceania,Melanesia,Papua New Guinea,UNSDC/NP,465,436,470,609,,603,610,520,603,697,713,,,,,,,,,,,,8.44,7.65,7.98,10.00,,9.28,9.09,7.51,8.45,9.47,9.40,,,,,,,,,,,
Americas,Latin America and the Caribbean,Paraguay,CTS/OAS,995,1314,1372,1285,1209,887,1276,2146,2298,2228,2026,1997,2149,2205,2218,2056,4167,3494,3637,2782,3746,2190,19.42,25.21,25.95,24.00,22.32,16.20,23.05,52.20,55.27,53.29,47.82,45.29,61.61,69.04,47.16,44.40,91.57,74.88,74.41,54.22,73.15,40.45
Americas,Latin America and the Caribbean,Peru,CTS/NSO/SDG,,,,,,,,505,603,595,780,7819,8554,9353,9606,9870,20505,11813,19448,17945,13585,465,,,,,,,,1.77,2.09,2.05,2.67,85.53,74.50,103.51,79.11,82.01,196.81,49.61,197.06,183.29,138.24,1.80
Asia,South-eastern Asia,Philippines,NP/UNSDC/CTS/GSH 2019 Revision,5735,5852,6553,,,69,72,11924,11640,18176,17301,16980,16980,,,,52267,38469,27103,22524,,,7.36,7.35,8.06,,,0.08,0.08,19.86,19.05,29.19,27.28,26.29,25.83,,,,71.44,51.66,36.08,29.60,,
Europe,Eastern Europe,Poland,MD/CTS/GSH 2019 Revision/UNSDC/Eurostat/SDG,1710,1552,1432,1063,1160,1010,864,794,997,1415,1409,1473,1370,1175,1020,1044,1314,1385,1295,1364,1254,1115,6.73,6.07,5.61,4.51,4.70,4.10,3.55,3.47,3.46,4.70,4.67,4.93,4.64,3.86,3.41,3.49,9.59,13.20,12.80,12.14,11.92,12.45
Europe,Southern Europe,Portugal,MD Adjusted/Eurostat/SDG/GSH 2023 Revision,232,210,238,319,300,433,335,348,254,294,498,486,514,572,276,402,290,291,321,281,321,157,3.41,3.08,3.46,4.53,4.28,5.45,4.70,5.11,3.62,4.05,19.58,18.20,18.91,24.10,13.77,16.09,10.73,13.13,12.94,11.09,11.56,1.53
Americas,Latin America and the Caribbean,Puerto Rico,MD/NSO/NP/SDG,1468,1604,1640,1636,1686,1650,1566,1548,1748,1912,2060,2358,2030,1848,2067,1842,2112,1705,3458,1286,1129,,58.73,64.14,65.65,65.61,67.76,66.53,63.47,63.01,71.47,78.66,85.25,98.28,85.36,78.78,79.44,71.73,83.76,76.81,411.05,60.40,53.33,
Asia,Western Asia,Qatar,UNSDC/MD/SDG/Mol,1,10,,,10,12,10,18,24,16,8,8,14,18,18,18,36,36,30,33,36,62,0.15,2.06,,,1.80,2.54,1.39,2.35,2.12,1.51,0.54,0.52,1.00,1.16,1.19,0.94,2.06,1.57,1.21,1.32,1.63,4.01
Asia,Eastern Asia,Republic of Korea,UNSDC Adjusted/NP Adjusted/SDG Adjusted/GSH 2019 Revision/CTS,370,407,371,387,420,411,1183,1287,1253,1478,1350,2047,2000,1756,1909,1757,1650,1319,1368,1271,1281,1816,0.79,0.87,0.78,0.81,0.88,0.86,2.59,2.77,2.67,3.16,2.86,7.09,6.55,5.84,6.39,5.80,5.31,3.14,3.24,3.02,3.05,4.02
Europe,Eastern Europe,Republic of Moldova,UNSDC/CTS/NSO/MD,866,822,802,901,798,866,879,717,737,757,803,677,463,539,861,644,716,714,924,779,623,,31.09,29.84,29.43,30.11,26.84,29.33,29.59,24.77,26.49,27.53,30.13,25.57,20.05,23.91,82.97,30.01,33.89,32.39,42.11,35.63,28.70,
Africa,Sub-Saharan Africa,Réunion,NP,,,,,46,50,38,48,36,30,,,,,,,,,,,,,,,,,8.39,9.08,6.77,8.43,6.25,5.12,,,,,,,,,,,,
Europe,Eastern Europe,Romania,UNSDC/Eurostat/SDG/CTS/MD,1112,1398,1312,2863,2190,2155,1789,1707,1549,1449,1574,1551,1226,1266,1522,1734,1642,1476,1378,1403,1300,1162,7.69,9.73,9.15,16.64,12.63,12.84,10.86,10.55,9.58,8.78,9.47,9.09,7.16,7.43,9.28,11.02,10.20,9.28,8.82,8.92,8.58,7.70
Europe,Eastern Europe,Russian Federation,WHO/NSO/GSH 2019 Revision/GSH 2023 Revision/CTS,82180,85842,88924,83961,97030,89502,73822,65289,52384,50925,65966,64324,44272,43352,63440,100789,104469,88472,83657,79354,103726,58428,86.03,90.28,93.90,91.48,96.66,89.11,73.35,64.92,93.20,90.62,114.64,107.26,71.55,70.10,64.06,90.01,93.35,79.63,75.42,72.32,264.99,133.17
Africa,Sub-Saharan Africa,Rwanda,NSO/External,,,,,,,319,268,144,,291,,256,359,676,571,392,470,285,404,472,,,,,,,,3.44,2.81,1.47,,2.82,,2.36,3.23,7.03,6.10,3.29,3.84,2.27,3.15,3.59,
Africa,Sub-Saharan Africa,Saint Helena,NSO,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,0.00,0.00,0.00,0.00,17.74,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Americas,Latin America and the Caribbean,Saint Kitts and Nevis,NP/MD/CTS/OAS,3,12,10,20,31,10,17,24,26,60,42,70,18,,,,242,319,282,186,167,153,6.60,39.20,32.56,64.92,90.57,21.40,36.27,51.05,55.14,185.37,134.11,220.93,37.71,,,,704.86,3093.64,2540.59,2238.35,1994.05,2502.97
Americas,Latin America and the Caribbean,Saint Lucia,MD/OAS/GSH 2019 Revision/CTS,46,34,84,72,74,41,43,29,39,78,88,92,78,66,68,56,60,587,446,549,606,666,43.53,21.17,78.25,66.61,67.89,24.79,25.83,17.31,23.13,69.06,77.33,80.26,67.67,56.99,58.51,47.93,51.18,915.55,836.14,926.44,845.56,1338.75
Americas,Latin America and the Caribbean,Saint Martin (French Part),GOV,,,,,,,,,,,,8,2,8,8,6,10,,,,,,,,,,,,,,,,,22.01,5.55,22.45,22.69,17.13,28.73,,,,,
