,Year,Rank,Player,Country,Team,Points,Source
0,1956,1st,Stanley Matthews,England,Blackpool,47,Wikipedia
1,1956,2nd,Alfredo Di Stefano,Spain,Real Madrid,44,Wikipedia
2,1956,3rd,Raymond Kopa,France,Real Madrid,33,Wikipedia
3,1957,1st,Alfredo Di Stefano,Spain,Real Madrid,72,Wikipedia
4,1957,2nd,Billy Wright,England,Wolverhampton Wanderers,19,Wikipedia
5,1957,3rd,Duncan Edwards,England,Manchester United,16,Wikipedia
6,1957,3rd,Raymond Kopa,France,Real Madrid,16,Wikipedia
7,1958,1st,Raymond Kopa,France,Real Madrid,71,Wikipedia
8,1958,2nd,Helmut Rahn,West Germany,Rot-Weiss Essen,40,Wikipedia
9,1958,3rd,Just Fontaine,France,Reims,23,Wikipedia
10,1959,1st,Alfredo Di Stefano,Spain,Real Madrid,80,Wikipedia
11,1959,2nd,Raymond Kopa,France,Reims,42,Wikipedia
12,1959,3rd,John Charles,Wales,Juventus,24,Wikipedia
13,1960,1st,Luis Suarez,Spain,Barcelona,54,Wikipedia
14,1960,2nd,Ferenc Puskas,Hungary,Real Madrid,37,Wikipedia
15,1960,3rd,Uwe Seeler,West Germany,Hamburger SV,33,Wikipedia
16,1961,1st,Omar Sivori,Italy,Juventus,46,Wikipedia
17,1961,2nd,Luis Suarez,Spain,Inter Milan,40,Wikipedia
18,1961,3rd,Johnny Haynes,England,Fulham,22,Wikipedia
19,1962,1st,Josef Masopust,Czechoslovakia,Dukla Prague,65,Wikipedia
20,1962,2nd,Eusebio,Portugal,Benfica,53,Wikipedia
21,1962,3rd,Karl-Heinz Schnellinger,West Germany,1FC Koln,33,Wikipedia
22,1963,1st,Lev Yashin,Soviet Union,Dynamo Moscow,73,Wikipedia
23,1963,2nd,Gianni Rivera,Italy,AC Milan,55,Wikipedia
24,1963,3rd,Jimmy Greaves,England,Tottenham Hotspur,50,Wikipedia
25,1964,1st,Denis Law,Scotland,Manchester United,61,Wikipedia
26,1964,2nd,Luis Suarez,Spain,Inter Milan,43,Wikipedia
27,1964,3rd,Amancio,Spain,Real Madrid,38,Wikipedia
28,1965,1st,Eusebio,Portugal,Benfica,67,Wikipedia
29,1965,2nd,Giacinto Facchetti,Italy,Inter Milan,59,Wikipedia
30,1965,3rd,Luis Suarez,Spain,Inter Milan,45,Wikipedia
31,1966,1st,Bobby Charlton,England,Manchester United,81,Wikipedia
32,1966,2nd,Eusebio,Portugal,Benfica,80,Wikipedia
33,1966,3rd,Franz Beckenbauer,West Germany,Bayern Munich,59,Wikipedia
34,1967,1st,Florian Albert,Hungary,Ferencvaros,68,Wikipedia
35,1967,2nd,Bobby Charlton,England,Manchester United,40,Wikipedia
36,1967,3rd,Jimmy Johnstone,Scotland,Celtic,39,Wikipedia
37,1968,1st,George Best,Northern Ireland,Manchester United,61,Wikipedia
38,1968,2nd,Bobby Charlton,England,Manchester United,53,Wikipedia
39,1968,3rd,Dragan Dzajic,Socialist Federal Republic of Yugoslavia,Red Star Belgrade,46,Wikipedia
40,1969,1st,Gianni Rivera,Italy,AC Milan,83,Wikipedia
41,1969,2nd,Gigi Riva,Italy,Cagliari,79,Wikipedia
42,1969,3rd,Gerd Muller,West Germany,Bayern Munich,38,Wikipedia
43,1970,1st,Gerd Muller,West Germany,Bayern Munich,77,Wikipedia
44,1970,2nd,Bobby Moore,England,West Ham United,70,Wikipedia
45,1970,3rd,Gigi Riva,Italy,Cagliari,65,Wikipedia
46,1971,1st,Johan Cruyff,Netherlands,Ajax,116,Wikipedia
47,1971,2nd,Sandro Mazzola,Italy,Inter Milan,57,Wikipedia
48,1971,3rd,George Best,Northern Ireland,Manchester United,56,Wikipedia
49,1972,1st,Franz Beckenbauer,West Germany,Bayern Munich,81,Wikipedia
50,1972,2nd,Gerd Muller,West Germany,Bayern Munich,79,Wikipedia
51,1972,3rd,Gunter Netzer,West Germany,Borussia Monchengladbach,,Wikipedia
52,1973,1st,Johan Cruyff,Netherlands,Barcelona,96,Wikipedia
53,1973,2nd,Dino Zoff,Italy,Juventus,47,Wikipedia
54,1973,3rd,Gerd Muller,West Germany,Bayern Munich,44,Wikipedia
55,1974,1st,Johan Cruyff,Netherlands,Barcelona,116,Wikipedia
56,1974,2nd,Franz Beckenbauer,West Germany,Bayern Munich,105,Wikipedia
57,1974,3rd,Kazimierz Deyna,Poland,Legia Warsaw,35,Wikipedia
58,1975,1st,Union Oleg Blokhin,Soviet Union,Dynamo Kyiv,122,Wikipedia
59,1975,2nd,Franz Beckenbauer,West Germany,Bayern Munich,42,Wikipedia
60,1975,3rd,Johan Cruyff,Netherlands,Barcelona,27,Wikipedia
61,1976,1st,Franz Beckenbauer,West Germany,Bayern Munich,91,Wikipedia
62,1976,2nd,Rob Rensenbrink,Netherlands,Anderlecht,75,Wikipedia
63,1976,3rd,Ivo Viktor,Czechoslovakia,Dukla Prague,52,Wikipedia
64,1977,1st,Allan Simonsen,Denmark,Borussia Monchengladbach,74,Wikipedia
65,1977,2nd,Kevin Keegan,England,Hamburger SV,71,Wikipedia
66,1977,3rd,Michel Platini,France,Nancy,70,Wikipedia
67,1978,1st,Kevin Keegan,England,Hamburger SV,87,Wikipedia
68,1978,2nd,Hans Krankl,Austria,Barcelona,81,Wikipedia
69,1978,3rd,Rob Rensenbrink,Netherlands,Anderlecht,50,Wikipedia
70,1979,1st,Kevin Keegan,England,Hamburger SV,118,Wikipedia
71,1979,2nd,Karl-Heinz Rummenigge,West Germany,Bayern Munich,52,Wikipedia
72,1979,3rd,Ruud Krol,Netherlands,Ajax,41,Wikipedia
73,1980,1st,Karl-Heinz Rummenigge,West Germany,Bayern Munich,122,Wikipedia
74,1980,2nd,Bernd Schuster,West Germany,Barcelona,34,Wikipedia
75,1980,3rd,Michel Platini,France,Saint-etienne,33,Wikipedia
76,1981,1st,Karl-Heinz Rummenigge,West Germany,Bayern Munich,106,Wikipedia
77,1981,2nd,Paul Breitner,West Germany,Bayern Munich,64,Wikipedia
78,1981,3rd,Bernd Schuster,West Germany,Barcelona,39,Wikipedia
79,1982,1st,Paolo Rossi,Italy,Juventus,115,Wikipedia
80,1982,2nd,Alain Giresse,France,Girondins de Bordeaux,64,Wikipedia
81,1982,3rd,Zbigniew Boniek,Poland,Juventus,39,Wikipedia
82,1983,1st,Michel Platini,France,Juventus,110,Wikipedia
83,1983,2nd,Kenny Dalglish,Scotland,Liverpool,26,Wikipedia
84,1983,3rd,Allan Simonsen,Denmark,Vejle BK,25,Wikipedia
85,1984,1st,Michel Platini,France,Juventus,110,Wikipedia
86,1984,2nd,Jean Tigana,France,Girondins de Bordeaux,57,Wikipedia
87,1984,3rd,Preben Elkjaer,Denmark,Hellas Verona,48,Wikipedia
88,1985,1st,Michel Platini,France,Juventus,127,Wikipedia
89,1985,2nd,Preben Elkjaer,Denmark,Hellas Verona,71,Wikipedia
90,1985,3rd,Bernd Schuster,West Germany,Barcelona,46,Wikipedia
91,1986,1st,Igor Belanov,Soviet Union,Dynamo Kyiv,84,Wikipedia
92,1986,2nd,Gary Lineker,England,Barcelona,62,Wikipedia
93,1986,3rd,Emilio Butragueno,Spain,Real Madrid,59,Wikipedia
94,1987,1st,Ruud Gullit,Netherlands,AC Milan,106,Wikipedia
95,1987,2nd,Paulo Futre,Portugal,Atletico Madrid,91,Wikipedia
96,1987,3rd,Emilio Butragueno,Spain,Real Madrid,61,Wikipedia
97,1988,1st,Marco van Basten,Netherlands,AC Milan,129,Wikipedia
98,1988,2nd,Ruud Gullit,Netherlands,AC Milan,88,Wikipedia
99,1988,3rd,Frank Rijkaard,Netherlands,AC Milan,45,Wikipedia
100,1989,1st,Marco van Basten,Netherlands,AC Milan,129,Wikipedia
101,1989,2nd,Franco Baresi,Italy,AC Milan,80,Wikipedia
102,1989,3rd,Frank Rijkaard,Netherlands,AC Milan,43,Wikipedia
103,1990,1st,Lothar Matthaus,Germany,Inter Milan,137,Wikipedia
104,1990,2nd,Salvatore Schillaci,Italy,Juventus,84,Wikipedia
105,1990,3rd,Andreas Brehme,Germany,Inter Milan,68,Wikipedia
106,1991,1st,Jean-Pierre Papin,France,Marseille,141,Wikipedia
107,1991,2nd,Dejan Savicevic,Socialist Federal Republic of Yugoslavia,Red Star Belgrade,42,Wikipedia
108,1991,2nd,Darko Pancev,Socialist Federal Republic of Yugoslavia,Red Star Belgrade,42,Wikipedia
109,1991,2nd,Lothar Matthaus,Germany,Inter Milan,42,Wikipedia
110,1992,1st,Marco van Basten,Netherlands,AC Milan,98,Wikipedia
111,1992,2nd,Hristo Stoichkov,Bulgaria,Barcelona,80,Wikipedia
112,1992,3rd,Dennis Bergkamp,Netherlands,Ajax,53,Wikipedia
113,1993,1st,Roberto Baggio,Italy,Juventus,142,Wikipedia
114,1993,2nd,Dennis Bergkamp,Netherlands,Inter Milan,83,Wikipedia
115,1993,3rd,Eric Cantona,France,Manchester United,34,Wikipedia
116,1994,1st,Hristo Stoichkov,Bulgaria,Barcelona,210,Wikipedia
117,1994,2nd,Roberto Baggio,Italy,Juventus,136,Wikipedia
118,1994,3rd,Paolo Maldini,Italy,AC Milan,109,Wikipedia
119,1995,1st,George Weah,Liberia,AC Milan,144,Wikipedia
120,1995,2nd,Jurgen Klinsmann,Germany,Bayern Munich,108,Wikipedia
121,1995,3rd,Jari Litmanen,Finland,Ajax,67,Wikipedia
122,1996,1st,Matthias Sammer,Germany,Borussia Dortmund,144,Wikipedia
123,1996,2nd,Ronaldo,Brazil,Barcelona,143,Wikipedia
124,1996,3rd,Alan Shearer,England,Newcastle United,107,Wikipedia
125,1997,1st,Ronaldo,Brazil,Inter Milan,222,Wikipedia
126,1997,2nd,Predrag Mijatovic,Federal Republic of Yugoslavia,Real Madrid,68,Wikipedia
127,1997,3rd,Zinedine Zidane,France,Juventus,63,Wikipedia
128,1998,1st,Zinedine Zidane,France,Juventus,244,Wikipedia
129,1998,2nd,Davor Å uker,Croatia,Real Madrid,68,Wikipedia
130,1998,3rd,Ronaldo,Brazil,Inter Milan,66,Wikipedia
131,1999,1st,Rivaldo,Brazil,Barcelona,219,Wikipedia
132,1999,2nd,David Beckham,England,Manchester United,154,Wikipedia
133,1999,3rd,Andriy Shevchenko,Ukraine,AC Milan,64,Wikipedia
134,2000,1st,Luis Figo,Portugal,Real Madrid,197,Wikipedia
135,2000,2nd,Zinedine Zidane,France,Juventus,181,Wikipedia
136,2000,3rd,Andriy Shevchenko,Ukraine,AC Milan,85,Wikipedia
137,2001,1st,Michael Owen,England,Liverpool,176,Wikipedia
138,2001,2nd,Raul,Spain,Real Madrid,140,Wikipedia
139,2001,3rd,Oliver Kahn,Germany,Bayern Munich,114,Wikipedia
140,2002,1st,Ronaldo,Brazil,Real Madrid,169,Wikipedia
141,2002,2nd,Roberto Carlos,Brazil,Real Madrid,145,Wikipedia
142,2002,3rd,Oliver Kahn,Germany,Bayern Munich,110,Wikipedia
143,2003,1st,Pavel Nedved,Czech Republic,Juventus,190,Wikipedia
144,2003,2nd,Thierry Henry,France,Arsenal,128,Wikipedia
145,2003,3rd,Paolo Maldini,Italy,AC Milan,123,Wikipedia
146,2004,1st,Andriy Shevchenko,Ukraine,AC Milan,175,Wikipedia
147,2004,2nd,Deco,Portugal,Barcelona,139,Wikipedia
148,2004,3rd,Ronaldinho,Brazil,Barcelona,133,Wikipedia
149,2005,1st,Ronaldinho,Brazil,Barcelona,225,Wikipedia
150,2005,2nd,Frank Lampard,England,Chelsea,148,Wikipedia
151,2005,3rd,Steven Gerrard,England,Liverpool,142,Wikipedia
152,2006,1st,Fabio Cannavaro,Italy,Real Madrid,173,Wikipedia
153,2006,2nd,Gianluigi Buffon,Italy,Juventus,124,Wikipedia
154,2006,3rd,Thierry Henry,France,Arsenal,121,Wikipedia
155,2007,1st,Kaka,Brazil,AC Milan,444,Wikipedia
156,2007,2nd,Cristiano Ronaldo,Portugal,Manchester United,277,Wikipedia
157,2007,3rd,Lionel Messi,Argentina,Barcelona,255,Wikipedia
158,2008,1st,Cristiano Ronaldo,Portugal,Manchester United,446,Wikipedia
159,2008,2nd,Lionel Messi,Argentina,Barcelona,281,Wikipedia
160,2008,3rd,Fernando Torres,Spain,Liverpool,179,Wikipedia
161,2009,1st,Lionel Messi,Argentina,Barcelona,473,Wikipedia
162,2009,2nd,Cristiano Ronaldo,Portugal,Real Madrid,233,Wikipedia
163,2009,3rd,Xavi,Spain,Barcelona,170,Wikipedia
164,2010,1st,Lionel Messi,Argentina,Barcelona,22.65%,Wikipedia
165,2010,2nd,Andres Iniesta,Spain,Barcelona,17.36%,Wikipedia
166,2010,3rd,Xavi,Spain,Barcelona,16.48%,Wikipedia
167,2011,1st,Lionel Messi,Argentina,Barcelona,47.88%,Wikipedia
168,2011,2nd,Cristiano Ronaldo,Portugal,Real Madrid,21.60%,Wikipedia
169,2011,3rd,Xavi,Spain,Barcelona,9.23%,Wikipedia
170,2012,1st,Lionel Messi,Argentina,Barcelona,41.60%,Wikipedia
171,2012,2nd,Cristiano Ronaldo,Portugal,Real Madrid,23.68%,Wikipedia
172,2012,3rd,Andres Iniesta,Spain,Barcelona,10.91%,Wikipedia
173,2013,1st,Cristiano Ronaldo,Portugal,Real Madrid,27.99%,Wikipedia
174,2013,2nd,Lionel Messi,Argentina,Barcelona,24.72%,Wikipedia
175,2013,3rd,Franck Ribery,France,Bayern Munich,23.36%,Wikipedia
176,2014,1st,Cristiano Ronaldo,Portugal,Real Madrid,37.66%,Wikipedia
177,2014,2nd,Lionel Messi,Argentina,Barcelona,15.76%,Wikipedia
178,2014,3rd,Manuel Neuer,Germany,Bayern Munich,15.72%,Wikipedia
179,2015,1st,Lionel Messi,Argentina,Barcelona,41.33%,Wikipedia
180,2015,2nd,Cristiano Ronaldo,Portugal,Real Madrid,27.76%,Wikipedia
181,2015,3rd,Neymar,Brazil,Barcelona,7.86%,Wikipedia
182,2016,1st,Cristiano Ronaldo,Portugal,Real Madrid,745,Wikipedia
183,2016,2nd,Lionel Messi,Argentina,Barcelona,316,Wikipedia
184,2016,3rd,Antoine Griezmann,France,Atletico Madrid,198,Wikipedia
185,2017,1st,Cristiano Ronaldo,Portugal,Real Madrid,946,Wikipedia
186,2017,2nd,Lionel Messi,Argentina,Barcelona,670,Wikipedia
187,2017,3rd,Neymar,Brazil,Paris Saint-Germain,361,Wikipedia
188,2018,1st,Croatia Luka Modric,Croatia,Real Madrid,753,Wikipedia
189,2018,2nd,Cristiano Ronaldo,Portugal,Juventus,476,Wikipedia
190,2018,3rd,Antoine Griezmann,France,Atletico Madrid,414,Wikipedia
191,2019,1st,Lionel Messi,Argentina,Barcelona,686,Wikipedia
192,2019,2nd,Virgil van Dijk,Netherlands,Liverpool,679,Wikipedia
193,2019,3rd,Cristiano Ronaldo,Portugal,Juventus,476,Wikipedia
194,2021,1st,Lionel Messi,Argentina,Paris Saint-Germain,613,Wikipedia
195,2021,2nd,Robert Lewandowski,Poland,Bayern Munich,580,Wikipedia
196,2021,3rd,Jorginho,Italy,Chelsea,460,Wikipedia
197,2022,1st,Karim Benzema,France,Real Madrid,549,Wikipedia
198,2022,2nd,Sadio Mane,Senegal,Liverpool,193,Wikipedia
199,2022,3rd,Kevin De Bruyne,Belgium,Manchester City,175,Wikipedia
