season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
1,1,Pilot,19 Sep. 2005,8.5,5969,"It's the year 2030 and an older Ted Mosby is telling the story to his son and daughter about how he met and will eventually marry their mother. This is where we meet for the first time Ted, Lily, Marshall, Barney and Robin."
1,2,Purple Giraffe,26 Sep. 2005,8.2,4568,"Ted throws a party in hopes of seeing Robin again, but when she doesn't show up, he throws another... and another."
1,3,The Sweet Taste of Liberty,3 Oct. 2005,8.1,4338,"Barney's plan to meet girls at the airport backfires as he and Ted are picked up by airport security. Meanwhile, Lily gets jealous of Robin."
1,4,Return of the Shirt,10 Oct. 2005,8.0,4089,Ted reconnects with an old flame and soon remembers why he dumped her in the first place. Barney pays Robin to say outrageous things on the air.
1,5,Okay Awesome,17 Oct. 2005,8.3,4215,"Robin, Ted, and Barney go to a hot new club, leaving the engaged Marshall and Lily to a more adult, albeit boring, evening of wine tasting."
1,6,The Slutty Pumpkin,24 Oct. 2005,8.1,4075,"Marshall and Lily enter a Halloween costume party and Robin brings her new boyfriend. Ted and Barney go to the same Halloween party they go to every year where Ted looks for his lost love, the Slutty Pumpkin."
1,7,Matchmaker,7 Nov. 2005,7.7,3842,"When Ted signs up with a matchmaking service, he learns that love is not a science. Marshall and Lily confront a creature living in their apartment."
1,8,The Duel,14 Nov. 2005,8.1,3814,"Lily moves in with Marshall and Ted, and when Ted suspects that he's being edged out of the apartment, he and Marshall decide to settle it like men."
1,9,Belly Full of Turkey,21 Nov. 2005,8.0,3797,"Thanksgiving with Marshall's family is stressful when Lily thinks she might be pregnant. Robin, Barney, and Ted spend the holiday volunteering."
1,10,The Pineapple Incident,28 Nov. 2005,9.2,5763,"After an alcohol-induced blackout, Ted awakens to find a strange woman and a pineapple in his bed."
1,11,The Limo,19 Dec. 2005,8.3,3992,"It's New Year's Eve 2005 and Ted spends a large portion of his Christmas bonus for a limo for him and the gang. In addition, he has outlined a plan for how they will ring in the New Year. Unfortunately, things don't always go as planned."
1,12,The Wedding,9 Jan. 2006,8.1,3718,"Ted's romantic hopes are dashed when he invites Robin to a fancy wedding, only to discover that the bride-to-be won't allow him to bring a date."
1,13,"Drumroll, Please",23 Jan. 2006,8.7,4236,"Robin is emotionally torn when Ted meets an exciting new woman, Victoria, at the wedding. Afterward, though, he doesn't know how to contact her."
1,14,"Zip, Zip, Zip",6 Feb. 2006,8.2,3631,"Hiding in the bathroom, Marshall and Lily wait for Ted and Victoria to consummate their relationship, and Barney gets the wrong idea from Robin."
1,15,Game Night,27 Feb. 2006,9.1,4705,Marshall's game night leads to some startling and very embarrassing revelations.
1,16,Cupcake,6 Mar. 2006,7.9,3484,"Just as Ted and Victoria's relationship is beginning to flourish, she's offered a scholarship to a culinary institute in Germany."
1,17,Life Among the Gorillas,20 Mar. 2006,7.7,3450,"With Victoria in Germany, Ted faces the pitfalls of long-distance relationships. Marshall has trouble fitting in at Barney's company."
1,18,Nothing Good Happens After 2 AM,10 Apr. 2006,8.5,3831,"With Victoria on his mind, Ted has conflicted feelings when Robin invites him over for a late-night rendevouz."
1,19,Mary the Paralegal,24 Apr. 2006,8.8,4132,"Ted needs a date to take to Robin's awards banquet, so Barney hooks him up with Mary, who may be a call girl."
1,20,Best Prom Ever,1 May 2006,7.9,3447,"With her wedding day fast approaching, Lily, along with Barney and Robin, crashes a high school prom to scope out a potential band for the reception."
1,21,Milk,8 May 2006,8.1,3479,"Ted is excited when a matchmaking service claims to have found his soul mate, but he postpones his date to help Lily, who has a surprising revelation."
1,22,Come On,15 May 2006,8.9,4284,Ted makes a final attempt to win Robin's heart. Marshall and Lily's relationship is in jeopardy.
2,1,Where Were We?,18 Sep. 2006,8.1,3455,Marshall becomes predictably depressed and pathetic after the breakup. And it only gets worse when he discovers that Lily may be back in town.
2,2,The Scorpion and the Toad,25 Sep. 2006,8.2,3376,"Barney gets Marshall back out on the singles market, but Barney keeps taking all the prospects from him. And Ted's convinced that Lily is back because she wants Marshall back, even though she says she's never been better."
2,3,Brunch,2 Oct. 2006,8.5,3522,"Ted discovers that his parents are keeping a secret from him after his dad acts as Barney's wingman, and Marshall and Lily intentionally try to get each other sexually aroused."
2,4,"Ted Mosby, Architect",9 Oct. 2006,8.8,3970,Barney tells Ted that single women like architects. But will Ted use this useful tidbit of information to cheat on Robin after they have their first fight?
2,5,World's Greatest Couple,16 Oct. 2006,8.8,3791,"Lily gets introduced to Barney's bachelor pad when she needs a place to stay, and Marshall finds a unlikely new friend to join him for brunch, concerts and musicals."
2,6,Aldrin Justice,23 Oct. 2006,8.1,3369,"Ted gets Lily a job at his firm, but she only makes trouble for Ted when he refuses to stand up to his boss. And Barney sleeps with Marshall's law school professor to help his grades, but she's less than impressed with his prowess."
2,7,Swarley,6 Nov. 2006,9.0,4700,"The guys tell Marshall to stay away from his new date because she has ""crazy eyes,"" but she couldn't be any crazier than Lily after she learns that Marshall's going out on his first new date."
2,8,Atlantic City,13 Nov. 2006,8.0,3359,"Marshall and Lily elope to Atlantic City, but they discover that getting married in Atlantic City isn't as easy as getting married in Las Vegas."
2,9,Slap Bet,20 Nov. 2006,9.5,6804,"The gang discovers that Robin's been hiding a huge secret, but they have no idea what it is. Marshall thinks she is married, and Barney thinks she was a porn star."
2,10,Single Stamina,27 Nov. 2006,8.2,3357,"Barney's gay black brother is in town, but he doesn't want to tell Barney that he's getting married because he'll be losing his only single sidekick."
2,11,How Lily Stole Christmas,11 Dec. 2006,8.1,3346,"Lily takes away her Christmas display after she finds out that Ted called her a bad name while she was broken up with Marshall, and Barney is too sick for his Christmas plans."
2,12,First Time in New York,8 Jan. 2007,8.1,3426,"Robin tries to keep her younger sister from losing her virginity while on vacation in New York, which causes everyone to reminisce about their first times."
2,13,Columns,22 Jan. 2007,7.9,3165,"Barney asks Lily to paint a nude picture of him after finding her painting of Marshall. And Ted can't find an opportune time to fire his old boss, who now works for him but still keeps undermining his work."
2,14,Monday Night Football,5 Feb. 2007,8.4,3398,"Everybody misses the Super Bowl because of a funeral. Therefore, they all try to go 24 hours without finding out who won so that they can watch the game together on Monday night."
2,15,Lucky Penny,12 Feb. 2007,8.4,3343,"When Ted misses his important business trip to Chicago, he tries to trace his steps back to the original incident that triggered the series of events that made him miss the flight."
2,16,Stuff,19 Feb. 2007,8.5,3513,"Ted tries to get rid of everything he received from other women at Robin's request, but getting rid of the stuff Robin received from other men won't be as easy. Meanwhile, Barney gets revenge on Lily for making him attend her terrible play."
2,17,"Arrivederci, Fiero",26 Feb. 2007,8.2,3394,"When Marshall's car doesn't quite make it to 200,000 miles without dying completely, everybody reminisces about their greatest memories with the car."
2,18,Moving Day,19 Mar. 2007,8.1,3158,"Ted and Robin decide to move in together, but nobody appears to be happy with the new living arrangements--especially Barney."
2,19,Bachelor Party,9 Apr. 2007,8.4,3343,"Ted changes Barney's bachelor party plans for Marshall at the last minute, so that it won't just consist of gambling and cheap strippers. And Robin gets Lily an inappropriate shower party gift."
2,20,Showdown,30 Apr. 2007,8.9,3683,"Barney becomes a contestant on ""The Price Is Right"" so that he can confront Bob Barker, because he believes that the game show host is his biological father."
2,21,Something Borrowed,7 May 2007,8.8,3488,"Marshall and Lily's wedding is destined to become a disaster, until fate intervenes and makes it perfect."
2,22,Something Blue,14 May 2007,8.8,3546,"As the happy couple celebrate their wedding, Ted and Robin tell Barney about the latest development of their relationship."
3,1,Wait for It,24 Sep. 2007,8.3,3464,"Ted's still not ready to date months after his breakup with Robin. But when Robin returns to New York with an exotic new boyfriend, he decides it's time to finally do something adventurous."
3,2,We're Not from Here,1 Oct. 2007,7.6,3095,"Ted and Barney pose as tourists to pick up on a couple of New York women, and Robin starts getting fed up with her new boyfriend."
3,3,Third Wheel,8 Oct. 2007,8.1,3239,"Ted has a chance for a threesome with two women, but Barney and Lily try to sabotage it. Meanwhile, Robin's date also goes better than expected, if only she can find a razor."
3,4,Little Boys,15 Oct. 2007,7.7,3081,"Robin tries to date a guy with a child, even though she does not like or want children. Meanwhile, Ted finds it impossible to make it with a woman he knows that Barney slept with a year ago."
3,5,How I Met Everyone Else,22 Oct. 2007,9.0,4301,"While everyone meets Ted's new crazy girlfriend, everyone recounts their stories of how they met everyone else. But the stories turn out to have several inconsistencies."
3,6,I'm Not That Guy,29 Oct. 2007,8.1,3063,"Ted discovers that a porn star is using his name. Marshall is wined and dined by a firm that defends polluters, and Lily's spending habits may force him to take the job."
3,7,Dowisetrepla,5 Nov. 2007,8.0,3096,"Marshall and Lily decide to buy a new home, which forces Lily to finally confront Marshall about her credit card debt."
3,8,Spoiler Alert,12 Nov. 2007,9.1,4289,"The guys shatter Ted's impressions of his new girlfriend by telling him she talks too much. Ted responds by turning the tables on his friends, and they react by pointing out Ted's worst flaw."
3,9,Slapsgiving,19 Nov. 2007,9.0,4104,"Marshall warns Barney that the third slap in their ""slap bet"" will be coming on Thanksgiving night. Meanwhile, Ted and Robin sleep together on the night before Thanksgiving."
3,10,The Yips,26 Nov. 2007,7.9,3130,Barney has trouble hitting on women at the Victoria's Secret after party and so has to return to the woman who took his virginity.
3,11,The Platinum Rule,10 Dec. 2007,8.5,3296,Barney and the gang try to convince Ted not to date the doctor that is removing his tattoo by giving examples of the Platinum Rule.
3,12,No Tomorrow,17 Mar. 2008,8.2,3175,"On St-Patrick's Day, Ted follows Barney to a bar to party like there's no tomorrow, while Robin discovers something strange about Marshall and Lily's new apartment."
3,13,Ten Sessions,24 Mar. 2008,8.8,3789,"As the search for Mrs. Right continues, Ted woos his dermatologist Stella -- but her receptionist, Abby, seems more interested in him."
3,14,The Bracket,31 Mar. 2008,8.7,3367,"One of Barney's exes is sabotaging his love life, but he doesn't know who. So he makes a NCAA Basketball Tournament-style bracket to figure out which women he wronged the worst."
3,15,The Chain of Screaming,14 Apr. 2008,8.0,3041,"Marshall cries in front of his boss after he chews him out, and everybody gives Marshall their own unique advice on how to confront his boss about the situation."
3,16,Sandcastles in the Sand,21 Apr. 2008,8.2,3331,"Robin gives romance a second try with an old boyfriend, only to have him break her heart...again."
3,17,The Goat,28 Apr. 2008,8.2,3086,"Barney is upset because he violated his own ""bro code"" by sleeping with Robin. How will Ted react when he learns that Barney slept with his ex-girlfriend?"
3,18,Rebound Bro,5 May 2008,8.1,3025,"Barney finds a new wingman to replace Ted, but he's painfully shy and awkward around women. Meanwhile Ted discovers that his new girlfriend Stella hasn't had sex in 5 years."
3,19,Everything Must Go,12 May 2008,7.7,3020,"Barney helps Abby get back at Ted by staging a fake proposal, but Abby doesn't realize that it's fake. Lily decides to sell some of her paintings so that she and Marshall can pay for floor repairs at their new place."
3,20,Miracles,19 May 2008,8.7,3329,"Ted breaks up with Stella but immediately wants to take it back after a life-changing experience. However, Stella doesn't realize that he broke up with her. Meanwhile, Barney has a serious accident on his way to see Ted in the hospital."
4,1,Do I Know You?,22 Sep. 2008,8.6,3497,"Ted and Stella get engaged, but Ted soon learns that he doesn't know anything about her. Meanwhile, Barney confesses to Lily that he's in love with Robin"
4,2,The Best Burger in New York,29 Sep. 2008,8.5,3667,"Marshall claims that he had the best hamburger in the world during his first week in New York City, but he forgot where the burger joint is located. The gang then hits the streets of Manhattan to help him find it."
4,3,I Heart NJ,6 Oct. 2008,7.7,3022,Ted does not want to move in with Stella because he hates New Jersey. Robin prematurely quits her TV job because she incorrectly thinks that she already has a new job.
4,4,Intervention,13 Oct. 2008,8.8,3630,"Ted, Robin, Marshall, and Lily all begin getting cold feet because of their imminent life changes, and Barney tries to prove that he can pick up a woman while posing as an 80-year-old man."
4,5,Shelter Island,20 Oct. 2008,8.3,3166,"Ted and Stella move up their wedding date, but the wedding may not go off as planned after Ted breaks the ""No Exes Rule"" and invites Robin to come in from Japan for the wedding."
4,6,Happily Ever After,3 Nov. 2008,8.0,3003,The gang tries to hide from Stella when they discover that they are eating at the same restaurant.
4,7,Not a Father's Day,10 Nov. 2008,7.8,2947,"While Barney celebrates a pregnancy false alarm, Marshall and Lily try to figure out if it's time to have a baby."
4,8,Woooo!,17 Nov. 2008,8.0,3156,"Lily is disappointed to discover that Robin is secretly a ""Woooo! Girl,"" and Barney secretly sabotages Ted's chance to get the contract to design a new bank skyscraper."
4,9,The Naked Man,24 Nov. 2008,9.2,4963,"When the gang learns that a bold, desperation date move got Robin into bed, Ted and Barney decide to try it out for themselves."
4,10,The Fight,8 Dec. 2008,8.3,3142,"The guys get invited to fight alongside Doug the Bartender. However, the fight doesn't go exactly how they imagined it to."
4,11,Little Minnesota,15 Dec. 2008,8.1,3088,"Ted tries to keep his irresponsible sister from hooking up with Barney during her trip to New York, and Robin starts hanging out with Marshall at a bar for Minnesotans, not telling them that she's really Canadian."
4,12,Benefits,12 Jan. 2009,8.6,3329,"Ted and Robin discover that sex with each other solve their fights as roommates, which makes Barney very jealous and angry. Meanwhile, Marshall reveals that he's too embarrassed to use the office bathroom."
4,13,Three Days of Snow,19 Jan. 2009,8.5,3291,"Ted and Barney get an opportunity to run their own bar during a historic blizzard, while Marshall and Lily try to defy the odds and continue one of their cherished traditions."
4,14,The Possimpible,2 Feb. 2009,8.4,3150,"Robin needs to find a television job in seven days or else she loses her work visa, and Barney volunteers to come to her aid. Meanwhile, Ted, Marshall, and Lily consider cleaning up their resumes"
4,15,The Stinsons,2 Mar. 2009,8.3,3209,"The guys find out that Barney is pretending to have a wife and son to make his mother happy, but the charade is blown when Ted makes a move on Barney's ""wife."""
4,16,"Sorry, Bro",9 Mar. 2009,7.7,3043,"Ted meets with his ex-girlfriend from college--a girlfriend who cheated on him constantly and Marshall and Lily can't stand, and Marshall tells the story about how he forgot to bring his pants to work."
4,17,The Front Porch,16 Mar. 2009,8.3,3184,"Ted becomes angry with Lily when he finds out that she has been sabotaging all his relationships that she did not approve of, including his relationship with Robin."
4,18,Old King Clancy,23 Mar. 2009,7.6,2903,"Barney and Marshall don't tell Ted that the plans for the building he has been working on have been scrapped, and the guys try to figure out which Canadian celebrity Robin slept with."
4,19,Murtaugh,30 Mar. 2009,8.4,3161,"Barney tries to do all the items on Ted's ""I'm too old for this stuff"" list while Marshall's over-competitive side comes out when he coaches Lily's kindergarten basketball team."
4,20,Mosbius Designs,13 Apr. 2009,7.6,2933,"Ted's plans to make his own design firm in his apartment hit a snag when his personal assistant begins sleeping with Robin, and Marshall tries to find a way to make himself indispensable at his workplace."
4,21,The Three Days Rule,27 Apr. 2009,8.7,3309,"Ted gets around the three-day rule by texting a woman he just met, but he doesn't realize that he's actually texting Barney and Marshall."
4,22,Right Place Right Time,4 May 2009,8.2,3043,Ted recounts the series of random events that lead up to the chance meeting with the woman who would eventually become his wife.
4,23,As Fast as She Can,11 May 2009,7.7,2960,"Stella's boyfriend Tony breaks up with her after having a conversation with Ted, prompting Stella to come back to Ted with a surprising request."
4,24,The Leap,18 May 2009,8.7,3484,"While Ted struggles with an unorthodox architecture project, Robin finds out that Barney is in love with her, and Marshall threatens to take a long-considered leap from the roof to a neighboring building."
5,1,Definitions,21 Sep. 2009,8.5,3341,"As Ted begins his new career as a professor and is about to meet his future wife, Lily forces Barney and Robin to have ""the talk"" and define their new relationship."
5,2,Double Date,28 Sep. 2009,8.1,3025,"Ted goes on a blind date with the same woman he went on a blind date with seven years ago, and Barney and Marshall find Lily's stripper look-alike."
5,3,Robin 101,5 Oct. 2009,8.3,3132,"When Robin fears that Barney is cheating on her, she soon discovers that he is spending his evenings with Ted learning everything there is to know on how to date her"
5,4,The Sexless Innkeeper,12 Oct. 2009,8.0,3159,"When Lily and Marshall realize that Robin and Barney are the perfect double-date friends, they try too hard to impress and come on too strong. Meanwhile, Ted gets a new nickname from Barney after an unsuccessful hook-up."
5,5,Duel Citizenship,19 Oct. 2009,7.8,2950,"While Barney tries to convince Robin to become an American citizen, Ted and Marshall's fabled road trip takes a wrong turn when Marshall invites Lily."
5,6,Bagpipes,2 Nov. 2009,7.8,2866,"Despite their best efforts to be the perfect couple, Barney's know-it-all attitude gets him in trouble with Robin and they are forced to ask Marshall and Lily for relationship advice."
5,7,The Rough Patch,9 Nov. 2009,7.8,3032,"After Barney and Robin hit a rough patch in their relationship, Lily devises the perfect plan to break them up, calling in help from Robin's famous friend, Alan Thicke."
5,8,The Playbook,16 Nov. 2009,9.4,6364,"When Barney hooks up with a woman Lily had been saving for Ted, she gets revenge by stealing his ""playbook,"" which contains all the moves he uses to pick up women. But will Barney have the last laugh?"
5,9,Slapsgiving 2: Revenge of the Slap,23 Nov. 2009,8.0,3143,"Barney freaks out when Marshall bequeaths a ""slap bet"" slap to Ted and Robin. Meanwhile, Lily's estranged father shows up for Thanksgiving."
5,10,The Window,7 Dec. 2009,8.1,3050,"Maggie a girl next door Ted has wanted to date for years has suddenly broken up with her latest boyfriend, giving him and many other guys a chance to score with her."
5,11,Last Cigarette Ever,14 Dec. 2009,7.8,3202,"Although he vowed to Robin and Marshall that he would never tell them, Ted finally tells his kids that at one time both Robin and Marshall used to smoke. In 2009, they both felt like they had good reason to do so. Marshall, only an occasional smoker, always said that each cigarette was his last. But when his old boss, the meanest man nicknamed Artillery Arthur, became his new boss, he thought he was going to be fired - again. So when Marshall found out that Arthur was a smoker, Marshall used it as a bonding mechanism to keep his job. Robin, at the time anchoring the ..."
5,12,Girls vs. Suits,11 Jan. 2010,9.1,5027,"Barney chooses between wearing suits and sleeping with a sexy bartender. Meanwhile, Ted gets ever closer to meeting ""the mother""."
5,13,Jenkins,18 Jan. 2010,8.6,3375,"When Marshall finds out he's the ""reacher"" in his relationship with Lily and not the ""settler,"" he considers pursuing a sexy and cool female coworker. Meanwhile, Ted finds out Robin is a drinking game for his architecture students."
5,14,Perfect Week,1 Feb. 2010,8.8,3653,When Barney is about to complete the perfect week - landing seven different girls in seven days - the gang roots him on in order to forget about their own miserable week.
5,15,Rabbit or Duck,8 Feb. 2010,8.0,2991,"Barney runs into problems when he displays his cell phone number during the Super Bowl, Ted asks Marshall and Lily to arrange a marriage for him, and Robin thinks that her co-anchor has asked her out on a date."
5,16,Hooked,1 Mar. 2010,7.7,2933,"When the gang tries to convince Ted that he is being strung along by Tiffany, they reflect about relationships where each of them has been in the same situation."
5,17,Of Course,8 Mar. 2010,8.3,3283,"After the guys discover that Robin deliberately got Barney hooked up with an incompatible female writer, they find out that that they didn't realize that Robin hasn't been handling their breakup very well."
5,18,Say Cheese,22 Mar. 2010,8.2,3022,"Ted angers Lily when he brings a random date to her birthday party, so she is forced to remind him of all the other random women he has brought along to important functions, only to discover that they weren't ""the one."""
5,19,Zoo or False,12 Apr. 2010,7.6,2934,"Marshall comes up with a number of different outrageous and embarrassing stories to explain how he was mugged in Central Park, but which of his stories is the truth?"
5,20,Home Wreckers,19 Apr. 2010,7.8,2913,"Ted reacts to his mom's second wedding by making the capricious decision to buy his ""dream house,"" while everyone tries to figure out whether Barney or Robin cried at the wedding."
5,21,Twin Beds,3 May 2010,7.8,2848,"As Robin contemplates moving in with her new boyfriend Don, Ted and Barney both decide that they want her back. Meanwhile, Marshall and Lily think they've revolutionized modern marriage when they begin sleeping in separate beds."
5,22,Robots vs. Wrestlers,10 May 2010,8.2,3031,"Barney is worried that the old gang is falling apart when Ted blows off a ""Wrestlers vs. Robots"" competition so that he can stay at a snobby party."
5,23,The Wedding Bride,17 May 2010,8.1,3177,"Ted is livid when he discovers that the man Stella left Ted for at the altar wrote a blockbuster movie about the incident, and portrays Ted as the bumbling, mean-spirited bad guy."
