season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
5,24,Doppelgangers,24 May 2010,8.5,3122,"Marshall and Lily think they've spotted Barney's doppelganger, which means that they can start trying to have a baby, but it's really Barney in disguise. Meanwhile, Ted goes blonde and Robin considers taking an anchor job in Chicago."
6,1,Big Days,20 Sep. 2010,8.1,3168,"Ted musters up the courage to talk to a girl at the bar, but then discovers she's there with one of his exes. Meanwhile, Lily is mad at Marshall because he told his dad they're trying to have a baby, and Robin lets herself go."
6,2,Cleaning House,27 Sep. 2010,8.3,3222,"The gang accompanies Barney and his brother James after they find the man who may be Barney's father, but it turns out to be James' father instead."
6,3,Unfinished,4 Oct. 2010,7.8,2882,"When Ted declines Barney's offer to design the new GNB building, Barney tries to woo him by using all of his best womanizing tactics. Meanwhile, Robin is still not over her relationship with Don and drunk dials him."
6,4,Subway Wars,11 Oct. 2010,8.6,3366,"The guys race each other, each using a different form of transportation, from the pub to a restaurant seven miles away because a friend claims that Woody Allen is there."
6,5,Architect of Destruction,18 Oct. 2010,7.8,2826,"Is Ted having second thoughts about designing GNB's new skyscraper because it would tear down a landmark, or because he's trying to impress a woman? Meanwhile, Lily shares a secret about Robin's new boyfriend with Marshall."
6,6,Baby Talk,25 Oct. 2010,7.7,2837,"Marshall takes steps to make sure that he and Lily have a baby boy, but Lily has other ideas. Meanwhile, when Ted begins dating Robin's co-anchor, Barney is inspired to use baby talk to pick up women, and Robin feels betrayed."
6,7,Canning Randy,1 Nov. 2010,7.7,2788,"Marshall struggles to fire an incompetent employee, everyone tries to figure out whom Robin slept with Halloween night, and Zoey, the GNB skyscraper protester, finds a way to turn Ted's class against him."
6,8,Natural History,8 Nov. 2010,8.1,2928,"Ted and Zoey's feud continues during a fundraiser at the Museum of Natural History. Meanwhile, Marshall confesses to Lily that he enjoys his job at GNB, and a prank by Barney and Robin may lead Barney to his real father."
6,9,Glitter,15 Nov. 2010,8.5,3421,"While Barney finds a new video from Robin's Canadian teen star past, Lily fears that a baby could come between her friendship with Robin. Meanwhile, Ted's obnoxious old friend, ""Punchy,"" comes from Cleveland for a visit."
6,10,Blitzgiving,22 Nov. 2010,9.1,4597,"When Ted leaves the bar early to prepare a Thanksgiving feast for his friends, the gang winds up partying all night with The Blitz, an old friend from college who has bad luck. As a result, Ted is forced to spend Thanksgiving with Zoey."
6,11,The Mermaid Theory,6 Dec. 2010,8.0,2951,"Ted goes on a boating trip with Zoey's husband, ""The Captain."" Meanwhile, Barney's ""Mermaid Theory"" prevents Marshal from having a nice dinner with Robin, and the narrator tries to recall the details of a fight between Lily and Barney."
6,12,False Positive,13 Dec. 2010,8.2,2928,"Barney and Robin contemplate drastic positive changes in their lives when Marshall and Lily announce that Lily is pregnant, but renege on their promises when Marshall and Lily tell them that it was a false positive."
6,13,Bad News,3 Jan. 2011,9.0,4280,"Marshall suspects that he is the reason Lily can't get pregnant after meeting a fertility doctor who also happens to be Barney's doppelganger. Meanwhile, Robin's embarrassing past is revealed at work by her former co-anchor."
6,14,Last Words,17 Jan. 2011,8.7,3532,"The gang tries to support Marshall and Lily tries to help his mom during Marshall's father's funeral, but Marshall becomes preoccupied when he discovers that he has one final voicemail message from him."
6,15,Oh Honey,7 Feb. 2011,8.8,3878,"Ted discovers that he is in love with Zoey after she tries to set him up on a date with her naive cousin, and he cuts off their friendship as a result. But little does he know that her marriage status has changed and she loves him too."
6,16,Desperation Day,14 Feb. 2011,8.0,2868,"Lily goes to Minnesota to bring Marshall back, but he's not ready to leave yet. Meanwhile, Ted and Zoey's relationship gets off to a rocky start, and Barney searches for a female ""victim"" the night before Valentine's Day."
6,17,Garbage Island,21 Feb. 2011,7.6,2718,"The Captain asks Ted to help find out who stole Zoey away from him, Marshall withholds sex until he does something to help the environment, and Barney is reluctant to admit that he has a crush on Robin's friend."
6,18,A Change of Heart,28 Feb. 2011,8.3,2968,"The gang gets mad at Barney when he lies to Nora and says he wants to get married and have a family to impress her, and Robin begins dating a guy who seems to possess several canine characteristics."
6,19,Legendaddy,21 Mar. 2011,8.3,3133,"Barney finally meets his biological father, but is disappointed to discover that he leads a boring life and is nothing like him."
6,20,The Exploding Meatball Sub,11 Apr. 2011,7.7,2736,"Despite Zoey still opposing the new GNB headquarters being built on the Arcadian Hotel site, Ted and Zoey's personal relationship is thriving. That issue is only one of the many disagreements in their life, which Ted likens to the two challenging each other mentally. On the other hand, he sees Marshall and Lily's relationship as being boring, as they agree on everything to the point of them almost melding into one person. Lily and Marshall, on the other hand, see their relationship as being supportive, the way that relationships should be, whereas they see Ted and ..."
6,21,Hopeless,18 Apr. 2011,7.9,2740,"When Barney tries to bond with his father, he asks the gang to help make his life seem more exciting by lying about their own lives. Meanwhile, Robin runs into a guy she has a crush on."
6,22,The Perfect Cocktail,2 May 2011,7.9,2759,"When Marshall switches sides on the Arcadian dispute, his friendship with Barney is compromised and the gang is banned from the bar. Meanwhile, Ted finally finds the courage to confront Zoey about the same topic."
6,23,Landmarks,9 May 2011,7.8,2689,"Ted is forced to make the final decision on whether he thinks The Arcadian should be declared a landmark, and his future with Zoey and Barney's future at GNB hinge on his decision."
6,24,Challenge Accepted,16 May 2011,8.5,3161,"In the aftermath of Ted and Zoey's break-up, Ted is having second thoughts. He is freaking out about an issue with the GNB headquarters, and historically when Ted freaks out about something, he turns to dating an old girlfriend if only for something comfortable and familiar, however bad returning to that relationship ended up being. When Barney and Robin find out that Ted is going to meet Zoey to get back together with her, they have to try and figure out where that meeting place is so that they can stop him. Beyond piecing together this puzzle, Barney and Robin's ..."
7,1,The Best Man,19 Sep. 2011,8.6,3886,"While Barney prepares for his wedding to a mystery bride, he and Ted reminisce about Punchy's wedding, including when Marshall and Lily announced they were having a baby. Meanwhile, Robin considers telling Barney she has feelings for him."
7,2,The Naked Truth,19 Sep. 2011,8.1,3129,"Ted tries to choose a date for the Architect's Ball, an embarrassing Internet video could cost Marshall a new job, and Barney makes a bold move to prove to Nora that he's a changed man."
7,3,Ducky Tie,26 Sep. 2011,8.9,3996,"At the Architect's Ball, Ted runs into Victoria, who tells him that she's getting married. Meanwhile, Barney places an unlikely wager with Marshall and Lily in order to see Lily's breasts."
7,4,The Stinson Missile Crisis,3 Oct. 2011,8.1,3000,"Jealous over Barney's relationship with Nora, Robin tells her court-appointed therapist the series of events that led up to the assault that she committed."
7,5,Field Trip,10 Oct. 2011,7.5,2829,"Robin tries to date her therapist, Marshall thinks his boss has gone soft on environmentalism, Barney suspects that Nora may be lying about her age, and Ted takes his Intro to Architecture class on the worst field trip ever."
7,6,Mystery vs. History,17 Oct. 2011,7.7,2944,Ted agrees to go on a date without researching her on the Internet beforehand; Barney urges Marshall and Lily to find out and reveal the gender of their child; and Kevin tries but fails to avoid passing judgment on the group.
7,7,Noretta,24 Oct. 2011,7.7,2939,"Kevin's declaration that everybody marries their parents ruins Marshall and Lily's romantic evening, but will anything keep Barney from getting lucky with Nora? And will Kevin finally get fed up with Ted and Robin's close relationship?"
7,8,The Slutty Pumpkin Returns,31 Oct. 2011,7.4,3015,"Ted finds his long-lost crush from a Halloween party 10 years ago, but will there be any chemistry? Meanwhile, Lily's ""pregnancy brain"" convinces her to move to the suburbs, and Barney finds out he's one-quarter Canadian."
7,9,Disaster Averted,7 Nov. 2011,8.3,3147,"The gang explains to Kevin the origins of the ""No Boogie-Boarding"" sign in front of MacLaren's, which has to do with Hurricane Irene. Meanwhile, Barney negotiates with Marshall about how to get out of wearing the ducky tie."
7,10,Tick Tick Tick,14 Nov. 2011,9.0,4494,"Barney and Robin are afraid to break the news to Nora and Kevin that they cheated with each other and want to get back together, while Ted and Marshall get stoned together at a concert."
7,11,The Rebound Girl,21 Nov. 2011,8.0,2992,"While Robin tries to talk Marshall and Lily out of moving to Long Island, Ted and Barney make the decision to become ""bro-parents."""
7,12,Symphony of Illumination,5 Dec. 2011,8.8,4030,"After Robin tells Barney that she's pregnant with his child, she receives some shocking news from her doctor. Meanwhile, a neighborhood teen plays a trick on Marshall while he decorates his house with Christmas lights."
7,13,Tailgate,2 Jan. 2012,7.8,2983,"After celebrating New Year's Eve, Marshall visits his father's graveside to carry on their tradition of tailgating. Meanwhile, Barney and Ted open a bar called ""Puzzles,"" and Robin is forced to fill in for an inebriated news anchor."
7,14,46 Minutes,16 Jan. 2012,7.7,3050,"While Marshall and Lily spend their first night in their new home after deciding to permanently move to Long Island, Barney takes over as group leader in Manhattan--both with disastrous results."
7,15,The Burning Beekeeper,6 Feb. 2012,7.4,3245,Lily and Marshall throw a housewarming party where Ted nearly comes to blows with Marshall's boss; Barney hits on a crazy divorcee.
7,16,The Drunk Train,13 Feb. 2012,8.1,3065,"Kevin proposes to Robin, but will he take it back when Robin tells him she can't have children? Meanwhile, Barney and Ted try to score on the ""drunk train"" to Long Island, but something is surprisingly holding Barney back."
7,17,No Pressure,20 Feb. 2012,8.4,3244,"While Ted waits to find out whether Robin loves him back, he discovers that Marshall and Lily have been trying to influence him in opposite directions to win a bet. Meanwhile, Barney tries to find Marshall and Lily's sex tape."
7,18,Karma,27 Feb. 2012,8.0,2857,"Barney gets played and heart-broken over a stripper named ""Karma,"" Robin becomes bored with her life on Long Island with Marshall and Lily, while Ted searches for a hobby to fill the empty space in Robin's old room."
7,19,The Broath,19 Mar. 2012,8.6,3332,"The gang tries to break up Barney and Quinn after learning they plan on moving in together, leaving Robin and Ted to fight over who deserves to sublet her apartment."
7,20,Trilogy Time,9 Apr. 2012,8.6,3219,"As Ted, Marshall, and Barney get together for their triennial viewing of the original Star Wars trilogy, Ted begins to question if he will ever end up where he wants to be - especially now that Barney and Quinn are getting serious."
7,21,Now We're Even,16 Apr. 2012,8.0,2761,"Just as Ted starts to settle into his new apartment alone, Barney tries to entice him into going out every single night. Meanwhile, Lily has a naughty dream about someone other than Marshall, and Robin finally becomes a famous news anchor."
7,22,Good Crazy,30 Apr. 2012,7.7,2678,"Barney tries to set Ted up on dates so that he can forget about Robin, while also plotting to get Quinn out of her stripping job. Meanwhile, Lily sends Marshall on a getaway so that he will stop stressing over the baby."
7,23,The Magician's Code: Part 1,14 May 2012,8.5,3249,Ted and Robin take care of Lily when she goes into labor because Marshall is drunk and stuck in Atlantic City with Barney.
7,24,The Magician's Code: Part 2,14 May 2012,8.9,3750,"Ted makes a fateful phone call to his old girlfriend Victoria, Barney's magic trick gets him in trouble with airport security just as he's about to leave on a trip with Quinn, and Robin tries to take the perfect birth announcement photo."
8,1,Farhampton,24 Sep. 2012,8.6,4731,"Ted convinces Victoria to take a brief detour before they leave together after she leaves her fiancé at the altar, and Barney's engagement to Quinn may be short-lived after she finds about his past relationship with Robin."
8,2,The Pre-Nup,1 Oct. 2012,7.4,3208,"Barney's ridiculous pre-nup that he asks Quinn to sign gives the other guys ideas of their own, but the girls find a way to retaliate."
8,3,Nannies,8 Oct. 2012,7.3,2963,"When Lily and Marshall have trouble finding a nanny, they learn it's because of an elaborate scheme Barney came up with to meet girls. Meanwhile, Robin and Ted butt heads over who has a more serious relationship."
8,4,Who Wants to Be a Godparent,15 Oct. 2012,7.5,3079,"When Lily and Marshall can't decide on godparents for Marvin, they put the gang to the test to see who would make the best one."
8,5,The Autumn of Breakups,5 Nov. 2012,7.5,3042,"As the season of break-ups continues, Ted and Victoria must choose the next step in their long and complicated relationship. Meanwhile, Robin worries about Barney when he chooses a dog to be his wingman."
8,6,Splitsville,12 Nov. 2012,7.5,2822,"When Robin is hesitant to break up with Nick, Barney takes matters into his own hands. Meanwhile, Lily and Marshall are desperate for some private time."
8,7,The Stamp Tramp,19 Nov. 2012,7.4,2747,"Marshall gets in the doghouse at work after he recommends a friend for a job, Robin helps Barney find a new strip club, and Ted is embarrassed after watching his video diary from college."
8,8,Twelve Horny Women,26 Nov. 2012,7.5,2818,"While Marshall faces the most important court case of his career against his new arch-nemesis, Brad Morris, the rest of the gang tries to figure out which one was the biggest bad-ass in their youth."
8,9,Lobster Crawl,3 Dec. 2012,7.5,2786,"Robin has a plan to get Barney out of her system for good, Ted witnesses Marvin's first crawl while babysitting for Marshall and Lily, and Barney has a new business idea after destroying a beloved tie."
8,10,The Over-Correction,10 Dec. 2012,8.1,2897,"Robin tries to get Barney's ""Playbook"" out of jealousy over his new girlfriend, Marshall catches his mom having sex with Lily's dad, and Ted tries to get everything back that was borrowed from him and never returned."
8,11,The Final Page: Part One,17 Dec. 2012,8.5,3509,"Ted wants to rub his new building in the face of an old professor, Barney is the victim of a lengthy jinx, Marshall and Lily run into an annoying old acquaintance, and Robin gets an opportunity to fire Patrice."
8,12,The Final Page: Part Two,17 Dec. 2012,9.4,6532,"Will Ted go to the opening of his new building with Robin as his date, or will he break his promise to Barney and tell her that Barney is proposing to Patrice? Meanwhile, Marshall and Lily have big plans for a rare night out."
8,13,Band or DJ?,14 Jan. 2013,7.9,2968,"Robin's dad denies Barney permission to marry his daughter, Marshall and Lily deal with Marvin's constipation, and why is Ted so dead-set against hiring a band for Barney and Robin's wedding?"
8,14,Ring Up!,21 Jan. 2013,7.9,2946,"Barney convinces Ted to sleep with a 20 year old until Barney learns her identity, Robin discovers that her engagement ring makes her invisible, and a leather cuff improves Marshall and Lily's love life."
8,15,P.S. I Love You,4 Feb. 2013,8.2,3381,Robin's past as a Canadian pop star is revisited when Barney uncovers the lost episode of a music documentary series in which she was featured as Robin Sparkles. Marshall and Lily have some concerns about Ted's latest girlfriend.
8,16,Bad Crazy,11 Feb. 2013,7.5,2765,"Ted's attempt to break up with his crazy new girlfriend does not go as planned, and Robin's fear of holding Marvin leads to an adventure with Mike Tyson."
8,17,The Ashtray,18 Feb. 2013,7.8,2818,"When Ted receives an unexpected call from The Captain, the gang reminisced about their last awkward encounter with him."
8,18,Weekend at Barney's,25 Feb. 2013,8.1,3018,"Barney is forced to break out ""The Playbook"" one final time to keep Ted from getting back together with Jeanette and taking her to his wedding, and Marshall embarrasses Lily at an art exhibition."
8,19,The Fortress,18 Mar. 2013,8.0,2786,"It's weeks before Barney and Robin's wedding, and one of the many things they still have to decide is where to live. The one thing Robin insists is that they don't live at Barney's apartment. So it goes on the market. However, Barney doesn't want to sell it to just anyone, but someone who is worthy of what was and will always be in his heart his ""Fortress of Barnitude"". Robin has a slightly different idea, which isn't as easy to achieve as she would like when she and others learn more and more about with what Barney has equipped his apartment. Meanwhile, Lily hasn't ..."
8,20,The Time Travelers,25 Mar. 2013,8.4,4453,"Ted and Barney run into their future selves as they debate whether to go to ""Wrestlers vs. Robots,"" while Robin and Marshall argue over who gets credit for a new drink at McLaren's."
8,21,Romeward Bound,15 Apr. 2013,7.4,2704,"""The Captain"" offers Lily a job in Rome, but will she take it? Meanwhile, Ted won't stop raving about the body of Barney and Robin's wedding planner."
8,22,The Bro Mitzvah,29 Apr. 2013,8.8,3667,"Ted and Marshall turn Barney's bachelor party into the worst night of his life, or is that exactly what they want him to believe?"
8,23,Something Old,6 May 2013,7.6,2916,"Robin searches for a locket that she buried in Central Park for her wedding, Ted helps Marshall and Lily pack for Italy, and Barney plays laser tag with his future father in law."
8,24,Something New,13 May 2013,8.8,4095,"As the wedding approaches, Barney and Robin deliberately ruin an obnoxious couple's evening, Marshall and Lily's plans for Italy hit a snag and Ted tells Lily that he's moving to Chicago."
9,1,The Locket,23 Sep. 2013,7.8,3751,"Lily meets an interesting person on the train to Farhampton, Marshall gets kicked off his flight to New York, Barney and Robin discover that they might be related, and Ted prepares to deliver a personal gift to Robin."
9,2,Coming Back,23 Sep. 2013,7.7,3314,"Marshall is forced to rent a car to get to New York, causing Lily to start drinking and accidentally reveal to Barney some bad news about his brother's marriage."
9,3,Last Time in New York,30 Sep. 2013,7.6,3165,"Barney and Robin try to have sex before the elderly wedding guests arrive, Ted reveals a list to Lily of things to do before he leaves New York, and Marshall has problems traveling through Packer Country."
9,4,The Broken Code,7 Oct. 2013,7.3,3070,"Barney gives Ted's Best Man duties to The Karate Kid's William Zabka over the incident at the carousel, and Lily gives Robin a lousy bridal party."
9,5,The Poker Game,14 Oct. 2013,7.2,3048,"Barney is upset after Robin wins James's wedding ring during the poker game, and Ted argues with Marshall and Lily over whether he gave them a wedding gift."
9,6,Knight Vision,21 Oct. 2013,7.5,3026,"When Ted finds himself with three prospects to be his date for the wedding weekend, he chooses poorly. Meanwhile, Barney and Robin have a confrontation with their minister, and Marshall learns more about his driving companion, Daphne."
9,7,No Questions Asked,28 Oct. 2013,7.4,3064,"When Daphne sends a troubling text message to Lily, Marshall enlists the gang's help to remove the message while enforcing the ""No Questions Asked"" rule."
9,8,The Lighthouse,4 Nov. 2013,7.3,3095,"When Robin and Loretta's conflict escalates, Barney is caught in the middle. Meanwhile, Marshall and Daphne deal with a stowaway on their road trip, and Ted and Cassie try to enjoy a trip to a lighthouse."
9,9,Platonish,11 Nov. 2013,8.2,3511,"After Robin finds out her mother isn't coming to the wedding, the group recalls a fateful night six months ago when Barney accepted the ""challenge"" of a lifetime, and Ted made a decision about his pursuit of Robin."
9,10,Mom and Dad,18 Nov. 2013,6.7,3235,"Barney and James fight over which one of their fathers will get back together with their mom, Ted becomes a victim of ""Zabkatage,"" and Daphne becomes inexplicably upset with Marshall."
9,11,Bedtime Stories,25 Nov. 2013,5.8,5265,"On the bus to Farhampton, Marshall tells Marvin bedtime stories about Ted, Robin and Barney in rhyme."
9,12,The Rehearsal Dinner,2 Dec. 2013,7.8,3361,"Barney becomes fixated on having his rehearsal dinner at a laser tag arena, much to Robin's dismay. Meanwhile, Ted doesn't come through on a promise, which aggravates Lily."
9,13,Bass Player Wanted,16 Dec. 2013,8.2,3429,"The gang encounters a guy at the wedding who intentionally stirs up trouble among them, and Marshall finally arrives at the Farhampton Inn."
9,14,Slapsgiving 3: Slappointment in Slapmarra,13 Jan. 2014,6.0,5268,"In an attempt to deliver a devastating final slap to Barney, Marshall explains how he mastered the Slap of A Million Exploding Suns."
9,15,Unpause,20 Jan. 2014,8.4,3532,"Robin and Ted take advantage of Barney when he becomes ""truth serum drunk,"" and Marshall does everything he can to remain in ""pause"" with Lily and avoid their fight."
9,16,How Your Mother Met Me,27 Jan. 2014,9.5,9538,"The story of The Mother, from her traumatic 21st birthday to a number of close calls with meeting Ted to the night before Barney and Robin's wedding."
9,17,Sunrise,3 Feb. 2014,8.2,3723,"While out looking for Barney on the day of the wedding, Robin and Ted reminisce about past relationships. Meanwhile, Marshall and Lily finally resolve their issues and Barney befriends two young guys eager to meet women."
9,18,Rally,24 Feb. 2014,8.0,3077,"On their wedding day, Barney has a massive hangover. The gang tries to help him get over the hangover by finding the correct ingredients."
9,19,Vesuvius,3 Mar. 2014,7.7,3127,"Lily is concerned that Robin is not acting appropriately on her wedding day, Ted helps Barney pick his wedding suit, and the gang watch an embarrassing movie based on Ted's life."
9,20,Daisy,10 Mar. 2014,8.5,3484,"The guys try to figure out where Lily went after her fight with Marshall and why. Meanwhile, after a talk with her mother, Robin is concerned that she is marrying her father."
9,21,Gary Blauman,17 Mar. 2014,8.3,3566,"Ted wants to get a wedding guest he especially despises to leave, but Lily wants him to stay because she likes him."
9,22,The End of the Aisle,24 Mar. 2014,8.9,4600,"With only half an hour to go, both Barney and Robin have panic attacks about their upcoming nuptials. Meanwhile, Marshall and Lily rewrite their old wedding vows."
9,23,Last Forever: Part One,31 Mar. 2014,6.7,9760,"After Barney and Robin's wedding, Ted builds up the courage to approach ""the mother"" at the train station. Meanwhile, three years after the wedding, Barney and Robin drop a bombshell on the group."
9,24,Last Forever: Part Two,31 Mar. 2014,5.5,18191,"As the years go on, changes cause the group to drift apart, but they reunite one more time for Ted's wedding. Meanwhile, a monumental event causes Barney to finally change his ways."
